p_businesscatentryId_50
1005661,3074457345618590871,394711,1045181,3074457345618642883,1130671,1137174,3074457345618880325,1737668,1218187,1225658,1470665,1099172,903793,3074457345619571327,3074457345619025839,3074457345618642839,3074457345618533319,1493654,3074457345619220829,1137178,903529,3074457345618991858,3074457345619676341,1081198,1049262,1275655,3074457345619391329,3074457345618519327,871362,1081218,945164,871358,3074457345618590827,1049216,871474,3074457345618880337,468265,903496,1049248,3074457345618903819,1345688,1081274,1655666,1616691,871324,1195696,3074457345618642861,3074457345618642829,3074457345619416841
3074457345618703321,871483,1374158,1737152,871360,1111152,1669162,1617652,1689654,3074457345619029830,3074457345618718879,3074457345619449333,3074457345619457323,3074457345618753831,1008158,871478,1217152,1081396,3074457345619033344,1638666,1037159,3074457345618851845,1746660,903608,1622295,3074457345619025836,1276652,468240,871322,3074457345618590861,552160,1608654,3074457345618641823,1050658,903587,1081162,3074457345619220828,3074457345618851843,3074457345619349331,3074457345619705327,871409,1681190,1782154,3074457345619488323,3074457345619132828,1345674,1681170,3074457345619391331,1045195,1195694
542189,3074457345618939823,1345683,3074457345619328834,1634675,1372154,723654,871422,3074457345618702321,1049294,3074457345618810825,3074457345618642865,1049230,903518,3074457345618974322,1143679,903630,3074457345619449329,3074457345618721831,3074457345618575847,3074457345618853829,583188,1454657,1027655,3074457345618991866,871354,903675,903505,1111248,3074457345619597820,1720663,871330,1224162,1218178,3074457345619608830,3074457345618741326,3074457345619202326,359825,3074457345619595820,3074457345619334838,836205,1655692,1345682,1481158,1681156,3074457345618737835,958657,903622,3074457345619475030,1458173
3074457345618848833,3074457345619200321,3074457345618684819,471492,855269,1333152,3074457345619475824,1195724,1681192,903795,3074457345618524820,1634693,1634676,871425,3074457345619181325,1075679,3074457345618590819,1081414,1591153,1213166,903524,1081394,3074457345618613339,903627,1323224,487656,706654,1218181,1111228,3074457345618616322,1324674,3074457345618991859,3074457345618773327,1070652,1081254,1230203,391500,3074457345619329856,3074457345618507825,3074457345618792327,3074457345618483821,484736,3074457345619565821,3074457345619449331,1225655,3074457345618991861,583191,958656,1049208,3074457345619556819
3074457345618718885,903502,1775654,3074457345618664322,3074457345619246823,1767262,3074457345619025844,1023165,871377,3074457345618546829,1195712,3074457345619337332,1291170,1209169,903507,871456,3074457345618642887,453405,3074457345619142821,1081276,3074457345618476402,453737,3074457345619662321,775661,1655704,1075682,871421,1326677,1130676,1141158,1045177,3074457345618642835,903573,3074457345618737831,3074457345618498336,871417,3074457345618725321,1049308,1213159,3074457345618490832,3074457345619387819,423970,871382,3074457345619209825,1081250,3074457345619136335,3074457345618714824,1045178,1023167,1138164
1075159,1049154,903692,3074457345619337331,3074457345618575862,871408,1725154,3074457345618576829,1737667,871473,3074457345619284332,1794658,871367,583193,3074457345618741328,1049272,1374657,3074457345618820819,3074457345618642879,3074457345619571329,1209168,3074457345618714826,3074457345618875320,1720664,893153,1216178,1186198,3074457345619642323,3074457345619303841,1195748,1688668,3074457345618474327,1195682,1081340,3074457345619416837,1292654,1037160,903646,1767655,3074457345619025833,1081214,903760,784312,3074457345618845823,3074457345618773325,3074457345619045821,871462,1081374,1794656,3074457345618494833
1475167,3074457345619623324,871427,903786,3074457345618903831,855291,903677,1111202,1145683,1346655,1297659,3074457345618642905,903674,552479,3074457345618642853,903491,903702,3074457345618881821,1024160,1169163,3074457345619516348,3074457345618835325,3074457345619432828,1216181,1145687,903798,395824,1759154,439635,1432466,1409704,3074457345619600828,3074457345618785327,1374166,717892,1258188,1536654,3074457345619348327,3074457345619595821,3074457345618796319,1081172,3074457345619018820,903776,3074457345618590859,3074457345618546833,3074457345619488321,3074457345618894365,3074457345618590875,1319656,3074457345619676339
3074457345618991869,1005660,1374178,1669169,903757,3074457345619438319,1684654,1049332,413671,3074457345618881823,3074457345618642831,871441,871346,903516,139081,3074457345618642869,1081152,1695173,871321,3074457345618861324,3074457345619284333,3074457345619413321,1195718,1737154,447807,3074457345618575845,3074457345618851835,1049324,825142,1111236,3074457345619406833,3074457345619145819,3074457345618498333,1186152,3074457345618642895,3074457345618845821,3074457345619029825,871357,3074457345618856335,1045192,1049330,1287654,3074457345619279835,1008160,1616702,903596,1218177,3074457345619196325,3074457345618991851,903588
903658,466628,3074457345619061338,3074457345618741324,982652,903593,3074457345619430334,1224163,3074457345618590845,3074457345619029828,3074457345618930819,1681194,871470,1143673,3074457345618711322,903490,3074457345618730824,1616701,3074457345618642823,1157154,3074457345619196324,1463658,1088658,3074457345618581824,1767247,972321,3074457345618590843,3074457345618939825,3074457345618498337,1195656,1049312,1395659,3074457345618537826,836199,1168152,3074457345619279505,903632,903544,1345677,1037164,3074457345618903823,1020162,1133165,482991,3074457345618899823,3074457345618590833,3074457345619045822,1133162,136705,1111162
903654,880166,871429,1049194,1156163,903520,3074457345619516345,1218185,903647,1695182,3074457345618861323,3074457345618866835,3074457345619220830,871439,3074457345619246822,467521,3074457345618485826,3074457345618760819,3074457345619388836,3074457345619373334,3074457345618991874,1081248,1655684,3074457345618795331,903495,3074457345619416819,1218192,1195680,903762,3074457345618590873,1081352,1174167,1111156,1371153,1008161,1075157,3074457345619436823,3074457345619565820,871415,1195734,1264152,3074457345618995346,1218184,3074457345618642899,836213,903500,3074457345618730401,1448162,3074457345618770827,3074457345619475024
